repo_full,week,failure_rate,n,failure_volatility_8w
docker/cli,2024-11-25,0.06372549019607843,204,
docker/cli,2024-12-02,0.0756578947368421,304,
docker/cli,2024-12-09,0.050980392156862744,255,
docker/cli,2024-12-16,0.12773722627737227,274,0.03368378646791317
docker/cli,2024-12-23,0.06896551724137931,116,0.029550798599264645
docker/cli,2024-12-30,0.11299435028248588,177,0.030159601554607573
docker/cli,2025-01-06,0.14285714285714285,203,0.035552547391118156
docker/cli,2025-01-13,0.15326633165829145,398,0.039433240082602426
docker/cli,2025-01-20,0.09144542772861357,339,0.03697991089528099
docker/cli,2025-01-27,0.15517241379310345,232,0.03920377093918027
docker/cli,2025-02-03,0.12474437627811862,489,0.0301913549807741
docker/cli,2025-02-10,0.12653061224489795,245,0.030162443281303887
docker/cli,2025-02-17,0.2276595744680851,470,0.04066003666372529
docker/cli,2025-02-24,0.056291390728476824,302,0.05022315113857442
docker/cli,2025-03-03,0.20748829953198128,641,0.05651809997342695
docker/cli,2025-03-10,0.17857142857142858,364,0.057877730215960196
docker/cli,2025-03-17,0.16569200779727095,513,0.053683087033302254
docker/cli,2025-03-24,0.09737827715355805,267,0.05745419991502338
docker/cli,2025-03-31,0.10850439882697947,341,0.05866911113195551
docker/cli,2025-04-07,0.17346938775510204,490,0.0587892060442385
docker/cli,2025-04-14,0.1507537688442211,398,0.05030321024865919
docker/cli,2025-04-21,0.1148936170212766,235,0.038988862805205554
docker/cli,2025-04-28,0.22807017543859648,57,0.043743950834157476
docker/cli,2025-05-05,0.1,100,0.04574337311424137
docker/cli,2025-05-12,0.16400911161731208,439,0.045624384012580926
docker/cli,2025-05-19,0.16056338028169015,355,0.04210277760517392
docker/cli,2025-05-26,0.15614617940199335,301,0.038614464208364466
docker/cli,2025-06-02,0.09803921568627451,51,0.04272640084973939
docker/cli,2025-06-09,0.1875,176,0.0451482784617289
docker/cli,2025-06-16,0.17901234567901234,162,0.04345129523173677
docker/cli,2025-06-23,0.175,80,0.034573203391553835
docker/cli,2025-06-30,0.23684210526315788,152,0.038497718756440535
docker/cli,2025-07-07,0.18181818181818182,297,0.03864030167635681
docker/cli,2025-07-14,0.2116564417177914,326,0.040674337326968
docker/cli,2025-07-21,0.2576419213973799,458,0.047969141809844316
docker/cli,2025-07-28,0.22648752399232247,521,0.030887547274488617
docker/cli,2025-08-04,0.15428571428571428,350,0.035734311092171726
docker/cli,2025-08-11,0.15087719298245614,570,0.03959109790465561
docker/cli,2025-08-18,0.11764705882352941,68,0.04875701548388051
docker/cli,2025-08-25,0.14163090128755365,932,0.047904235720485744
docker/cli,2025-09-01,0.17611026033690658,653,0.047920142539856055
docker/cli,2025-09-08,0.1729106628242075,347,0.04613547302773322
docker/cli,2025-09-22,0.206,1000,0.035185684226290315
docker/cli,2025-09-29,0.1440443213296399,361,0.02675250969326727
docker/cli,2025-10-06,0.2676056338028169,639,0.046932006727108226
docker/cli,2025-10-13,0.2145214521452145,303,0.04819710527733884
docker/cli,2025-10-20,0.2796610169491525,236,0.05210571944063382
docker/cli,2025-10-27,0.29411764705882354,119,0.05536243193567561
docker/cli,2025-11-03,0.14399092970521543,882,0.05992462302182257
docker/cli,2025-11-10,0.14342629482071714,251,0.06369610883059383
docker/cli,2025-11-17,0.0625,96,0.0828476488573647
docker/cli,2025-11-24,0.1329479768786127,173,0.08388478725656728
docker/cli,2025-12-01,0.13725490196078433,102,0.0797350983400858
docker/cli,2025-12-08,0.10650887573964497,169,0.08141772630102982
docker/cli,2025-12-15,0.15976331360946747,169,0.06643793571235836
docker/cli,2025-12-22,0.0898876404494382,89,0.03280405888826026
docker/cli,2025-12-29,0.0,7,0.05257857582020932
docker/cli,2026-01-05,0.14925373134328357,67,0.0532384769689177
docker/cli,2026-01-12,0.14893617021276595,282,0.05219644973041855
docker/cli,2026-01-19,0.03260869565217391,92,0.05903169572155326
docker/cli,2026-01-26,0.08421052631578947,95,0.05759954050331095
prometheus/prometheus,2024-11-25,0.08713692946058091,241,
prometheus/prometheus,2024-12-02,0.18716577540106952,374,
prometheus/prometheus,2024-12-09,0.2470414201183432,676,
prometheus/prometheus,2024-12-16,0.1702127659574468,329,0.06598734109789402
prometheus/prometheus,2024-12-23,0.14678899082568808,109,0.05832659179152038
prometheus/prometheus,2024-12-30,0.22093023255813954,430,0.056518873538251566
prometheus/prometheus,2025-01-06,0.19081272084805653,283,0.05187545524567006
prometheus/prometheus,2025-01-13,0.13754045307443366,618,0.05017168646965519
prometheus/prometheus,2025-01-20,0.12658227848101267,158,0.04170002273164336
prometheus/prometheus,2025-01-27,0.14620689655172414,725,0.042963128648935575
prometheus/prometheus,2025-02-03,0.19314641744548286,321,0.03275445987756895
prometheus/prometheus,2025-02-10,0.20750551876379691,453,0.035860341420011814
prometheus/prometheus,2025-02-17,0.15748031496062992,254,0.035010251807876105
prometheus/prometheus,2025-02-24,0.14150943396226415,530,0.030262095496512473
prometheus/prometheus,2025-03-03,0.2882882882882883,666,0.05375188030291588
prometheus/prometheus,2025-03-10,0.21726190476190477,336,0.05324867728969801
prometheus/prometheus,2025-03-17,0.08633093525179857,556,0.060884044266319444
prometheus/prometheus,2025-03-24,0.17276422764227642,492,0.059504336235835266
prometheus/prometheus,2025-03-31,0.18448637316561844,477,0.05937275545895575
prometheus/prometheus,2025-04-07,0.15789473684210525,228,0.05891170257805707
prometheus/prometheus,2025-04-14,0.09502262443438914,442,0.0654543259254301
prometheus/prometheus,2025-04-21,0.12026726057906459,449,0.06709034163324257
prometheus/prometheus,2025-04-28,0.1468682505399568,463,0.04506899016005917
prometheus/prometheus,2025-05-05,0.10666666666666667,300,0.036868499002110686
prometheus/prometheus,2025-05-12,0.12213740458015267,262,0.03215660382403558
prometheus/prometheus,2025-05-19,0.08860759493670886,237,0.033011766188855735
prometheus/prometheus,2025-05-26,0.0798611111111111,288,0.027602217656729686
prometheus/prometheus,2025-06-02,0.13846153846153847,325,0.023855108258805314
prometheus/prometheus,2025-06-09,0.11409395973154363,298,0.022819569748103875
prometheus/prometheus,2025-06-16,0.0748792270531401,414,0.026552106709599448
prometheus/prometheus,2025-06-23,0.14741035856573706,502,0.02666317043358616
prometheus/prometheus,2025-06-30,0.10699588477366255,486,0.0266592824568972
prometheus/prometheus,2025-07-07,0.11954459203036052,527,0.02649276956167113
prometheus/prometheus,2025-07-14,0.1276595744680851,235,0.02584490569812745
prometheus/prometheus,2025-07-21,0.1509433962264151,424,0.024780338431177263
prometheus/prometheus,2025-07-28,0.18095238095238095,525,0.03214877070502772
prometheus/prometheus,2025-08-04,0.17716535433070865,508,0.03582773310698116
prometheus/prometheus,2025-08-11,0.2655038759689923,516,0.050136088519323566
prometheus/prometheus,2025-08-18,0.23921568627450981,510,0.05700409694150017
prometheus/prometheus,2025-08-25,0.21179039301310043,458,0.05201835830788345
prometheus/prometheus,2025-09-01,0.22842639593908629,591,0.046686742689440695
prometheus/prometheus,2025-09-08,0.21933962264150944,424,0.037355844837744796
prometheus/prometheus,2025-09-15,0.15384615384615385,429,0.03671816976302156
prometheus/prometheus,2025-09-22,0.2,305,0.03518595032803679
prometheus/prometheus,2025-09-29,0.20526315789473684,190,0.03252385812866902
prometheus/prometheus,2025-10-06,0.1381011097410604,811,0.03554935773911589
prometheus/prometheus,2025-10-13,0.14603960396039603,404,0.035939127253213056
prometheus/prometheus,2025-10-20,0.10906040268456375,596,0.043682275347290175
prometheus/prometheus,2025-10-27,0.294478527607362,163,0.058835247153823676
prometheus/prometheus,2025-11-03,0.1875746714456392,837,0.0570992126918016
prometheus/prometheus,2025-11-10,0.18009478672985782,211,0.056174586113619154
prometheus/prometheus,2025-11-17,0.1855146124523507,787,0.05576470422744047
prometheus/prometheus,2025-11-24,0.16710875331564987,377,0.054996551485234524
prometheus/prometheus,2025-12-01,0.216,625,0.05421916554314053
prometheus/prometheus,2025-12-08,0.3111111111111111,45,0.06688556482717341
prometheus/prometheus,2025-12-15,0.2226762002042901,979,0.05411549015397456
prometheus/prometheus,2025-12-22,0.1751269035532995,394,0.04678425760261781
prometheus/prometheus,2025-12-29,0.17525773195876287,582,0.04765860448425205
prometheus/prometheus,2026-01-05,0.25,108,0.04901536325790189
prometheus/prometheus,2026-01-12,0.20179372197309417,892,0.04804678020935284
prometheus/prometheus,2026-01-19,0.22752497225305215,901,0.04404619341512898
prometheus/prometheus,2026-01-26,0.24242424242424243,99,0.0444831915275371
tektoncd/pipeline,2024-11-25,0.08333333333333333,12,
tektoncd/pipeline,2024-12-02,0.145,200,
tektoncd/pipeline,2024-12-09,0.05714285714285714,175,
tektoncd/pipeline,2024-12-16,0.08163265306122448,196,0.03744513703123149
tektoncd/pipeline,2024-12-23,0.07317073170731707,41,0.03347900728723715
tektoncd/pipeline,2024-12-30,0.02962962962962963,135,0.03828333337717185
tektoncd/pipeline,2025-01-06,0.06451612903225806,155,0.03533494817252558
tektoncd/pipeline,2025-01-13,0.0427807486631016,561,0.034799788967602774
tektoncd/pipeline,2025-01-20,0.02100840336134454,476,0.038696840604823146
tektoncd/pipeline,2025-01-27,0.06521739130434782,506,0.021328749000359727
tektoncd/pipeline,2025-02-03,0.036619718309859155,355,0.02216771602474605
tektoncd/pipeline,2025-02-10,0.1337579617834395,157,0.035707256185909496
tektoncd/pipeline,2025-02-17,0.06914893617021277,564,0.03549627397392921
tektoncd/pipeline,2025-02-24,0.08135593220338982,295,0.03431607763060115
tektoncd/pipeline,2025-03-03,0.08798283261802575,466,0.0353252555053901
tektoncd/pipeline,2025-03-10,0.06779661016949153,354,0.033931121558987615
tektoncd/pipeline,2025-03-17,0.09259259259259259,216,0.02797263662601538
tektoncd/pipeline,2025-03-24,0.1002710027100271,369,0.028194519931939128
tektoncd/pipeline,2025-03-31,0.046511627906976744,172,0.02596396283472724
tektoncd/pipeline,2025-04-07,0.07142857142857142,210,0.017033750147561363
tektoncd/pipeline,2025-04-14,0.08900523560209424,191,0.017149933236842566
tektoncd/pipeline,2025-04-21,0.0859375,256,0.017292165164443016
tektoncd/pipeline,2025-04-28,0.05426356589147287,258,0.019133035420627973
tektoncd/pipeline,2025-05-05,0.07116104868913857,267,0.0189637956052316
tektoncd/pipeline,2025-05-12,0.05,380,0.01973056142578717
tektoncd/pipeline,2025-05-19,0.0273972602739726,292,0.021099052841437614
tektoncd/pipeline,2025-05-26,0.024793388429752067,121,0.024495100082707805
tektoncd/pipeline,2025-06-02,0.0502092050209205,239,0.024133953370574914
tektoncd/pipeline,2025-06-09,0.030985915492957747,355,0.021586570156227145
tektoncd/pipeline,2025-06-16,0.012738853503184714,157,0.019246083198372576
tektoncd/pipeline,2025-06-23,0.05357142857142857,112,0.019175224268979062
tektoncd/pipeline,2025-06-30,0.017045454545454544,176,0.015925084478223262
tektoncd/pipeline,2025-07-07,0.09623430962343096,239,0.027218551426486486
tektoncd/pipeline,2025-07-14,0.09448818897637795,381,0.03284432144520473
tektoncd/pipeline,2025-07-21,0.0967032967032967,455,0.035474419557688694
tektoncd/pipeline,2025-07-28,0.12252252252252252,555,0.042215790171070244
tektoncd/pipeline,2025-08-04,0.047058823529411764,255,0.040691536636718935
tektoncd/pipeline,2025-08-11,0.0764525993883792,327,0.03413997173727069
tektoncd/pipeline,2025-08-18,0.07389162561576355,406,0.03301187072389569
tektoncd/pipeline,2025-08-25,0.09359605911330049,203,0.0220912785203059
tektoncd/pipeline,2025-09-01,0.11655011655011654,429,0.02428223861173343
tektoncd/pipeline,2025-09-08,0.0625,192,0.026037589705271133
tektoncd/pipeline,2025-09-15,0.08695652173913043,138,0.025699579915109023
tektoncd/pipeline,2025-09-22,0.07368421052631578,95,0.020837737115874885
tektoncd/pipeline,2025-09-29,0.10204081632653061,294,0.017688774644768517
tektoncd/pipeline,2025-10-06,0.11592178770949721,716,0.020080744953670033
tektoncd/pipeline,2025-10-13,0.10610079575596817,377,0.01946180636907153
tektoncd/pipeline,2025-10-20,0.11577181208053691,596,0.02081911794832471
tektoncd/pipeline,2025-10-27,0.10818713450292397,684,0.019912753588215478
tektoncd/pipeline,2025-11-03,0.12101910828025478,314,0.016057904941550107
tektoncd/pipeline,2025-11-10,0.07492795389048991,347,0.018262538131442598
tektoncd/pipeline,2025-11-17,0.13440860215053763,372,0.017308711401012984
tektoncd/pipeline,2025-11-24,0.12903225806451613,372,0.01818907203864445
tektoncd/pipeline,2025-12-01,0.08012820512820513,624,0.021514185615926825
tektoncd/pipeline,2025-12-08,0.1,10,0.021726436001966193
tektoncd/pipeline,2025-12-15,0.06454816285998013,1007,0.026178568940075406
tektoncd/pipeline,2025-12-22,0.04950495049504951,202,0.03168872807176751
tektoncd/pipeline,2025-12-29,0.08080808080808081,99,0.029968751065493862
tektoncd/pipeline,2026-01-05,0.07024793388429752,242,0.030329973571507667
tektoncd/pipeline,2026-01-12,0.05351170568561873,299,0.02605381660681793
tektoncd/pipeline,2026-01-19,0.013422818791946308,149,0.026066196188875963
tektoncd/pipeline,2026-01-26,0.024390243902439025,41,0.028483064071608
